RESOLUTION:3120,2080
1753619461.045,409,1505
1753619461.234,409,1505
1753619461.295,409,1504
1753619461.343,409,1503
1753619461.39,409,1502
1753619461.407,409,1501
1753619461.422,409,1499
1753619461.437,409,1498
1753619461.462,409,1497
1753619461.474,409,1496
1753619461.501,409,1495
1753619461.518,409,1494
1753619461.532,409,1493
1753619461.549,409,1491
1753619461.564,409,1490
1753619461.58,409,1489
1753619461.643,409,1488
1753619461.643,410,1488
1753619461.658,410,1487
1753619461.674,411,1487
1753619461.752,411,1486
1753619461.752,412,1486
1753619461.768,412,1485
1753619461.783,413,1484
1753619461.799,413,1482
1753619461.815,415,1482
1753619461.956,415,1481
1753619462.003,415,1480
1753619462.05,416,1479
1753619462.068,416,1478
1753619462.092,416,1477
1753619462.099,416,1476
1753619462.113,417,1474
1753619462.116,417,1473
1753619462.129,418,1472
1753619462.129,418,1471
1753619462.146,418,1470
1753619462.177,419,1469
1753619462.182,419,1468
1753619462.192,420,1468
1753619462.209,420,1466
1753619462.224,421,1466
1753619462.239,421,1465
1753619462.258,421,1464
1753619462.287,423,1464
1753619462.303,423,1463
1753619462.316,424,1463
1753619462.335,424,1462
1753619462.38,424,1461
1753619462.401,425,1460
1753619462.414,426,1458
1753619462.43,427,1457
1753619462.446,428,1457
1753619462.462,429,1456
1753619462.478,431,1455
1753619462.493,432,1454
1753619462.509,433,1451
1753619462.509,434,1450
1753619462.525,437,1448
1753619462.525,439,1445
1753619462.54,442,1444
1753619462.54,443,1442
1753619462.54,444,1441
1753619462.681,446,1441
1753619462.747,446,1441
1753619462.759,447,1441
1753619462.822,448,1441
1753619462.838,449,1441
1753619462.853,450,1441
1753619462.869,450,1441
1753619462.869,451,1441
1753619462.885,451,1440
1753619462.885,452,1440
1753619462.932,454,1440
1753619462.979,454,1439
1753619462.994,455,1439
1753619463.01,455,1438
1753619463.027,456,1438
1753619463.042,457,1438
1753619463.042,457,1437
1753619463.059,458,1437
1753619463.074,458,1436
1753619463.074,459,1436
1753619463.121,460,1434
1753619463.136,462,1434
1753619463.15,463,1433
1753619463.152,464,1432
1753619463.175,465,1431
1753619463.186,466,1431
1753619463.215,467,1431
1753619463.247,468,1431
1753619463.278,470,1431
1753619463.294,470,1430
1753619463.294,472,1430
1753619463.309,472,1429
1753619463.309,473,1429
1753619463.372,474,1429
1753619463.372,475,1429
1753619463.372,476,1429
1753619463.403,476,1429
1753619463.434,478,1429
1753619463.45,479,1429
1753619463.472,480,1429
1753619463.497,480,1430
1753619463.56,481,1430
1753619463.607,481,1431
1753619463.639,481,1432
1753619463.655,482,1432
1753619463.701,482,1433
1753619463.748,483,1433
1753619463.764,484,1433
1753619463.764,486,1433
1753619463.781,487,1435
1753619463.796,488,1435
1753619463.843,489,1435
1753619463.874,490,1435
1753619463.89,490,1436
1753619463.89,491,1436
1753619463.968,491,1437
1753619463.968,492,1437
1753619463.999,492,1438
1753619464.027,492,1439
1753619464.046,494,1439
1753619464.064,494,1440
1753619464.094,494,1441
1753619464.11,495,1443
1753619464.126,495,1444
1753619464.157,495,1445
1753619464.173,496,1445
1753619464.173,496,1446
1753619464.204,496,1447
1753619464.22,496,1448
1753619464.235,497,1448
1753619464.251,497,1449
1753619464.282,497,1450
1753619464.298,498,1452
1753619464.33,498,1453
1753619464.359,498,1454
1753619464.379,498,1455
1753619464.408,498,1456
1753619464.424,498,1457
1753619464.441,498,1458
1753619464.455,498,1460
1753619464.477,499,1461
1753619464.487,499,1462
1753619464.518,499,1463
1753619464.534,499,1464
1753619464.534,499,1465
1753619464.565,499,1466
1753619464.565,500,1466
1753619464.565,500,1468
1753619464.581,500,1469
1753619464.596,500,1470
1753619464.612,500,1471
1753619464.612,502,1472
1753619464.643,502,1473
1753619464.659,502,1474
1753619464.674,502,1476
1753619464.69,502,1477
1753619464.69,502,1478
1753619464.721,502,1479
1753619464.721,502,1480
1753619464.737,502,1481
1753619464.768,502,1482
1753619464.768,502,1483
1753619464.768,502,1485
1753619464.799,502,1486
1753619464.799,502,1487
1753619464.826,502,1488
1753619464.835,502,1489
1753619464.846,502,1490
1753619464.846,502,1491
1753619464.846,502,1493
1753619464.863,502,1494
1753619464.863,502,1495
1753619464.878,502,1496
1753619464.894,501,1497
1753619464.911,501,1498
1753619464.931,500,1499
1753619464.931,500,1501
1753619464.942,499,1501
1753619464.959,499,1502
1753619464.974,499,1503
1753619464.989,499,1504
1753619464.997,499,1505
1753619465.005,498,1505
1753619465.013,498,1506
1753619465.013,498,1507
1753619465.021,497,1507
1753619465.036,497,1509
1753619465.059,497,1510
1753619465.087,496,1511
1753619465.1,496,1512
1753619465.119,495,1512
1753619465.132,495,1513
1753619465.132,493,1514
1753619465.147,493,1515
1753619465.164,493,1516
1753619465.174,492,1518
1753619465.179,492,1519
1753619465.179,491,1519
1753619465.194,491,1520
1753619465.194,490,1520
1753619465.194,490,1521
1753619465.211,490,1522
1753619465.226,489,1523
1753619465.241,489,1524
1753619465.257,488,1524
1753619465.257,488,1526
1753619465.257,487,1526
1753619465.273,487,1527
1753619465.273,487,1528
1753619465.288,485,1528
1753619465.288,485,1529
1753619465.304,485,1530
1753619465.304,484,1530
1753619465.324,484,1531
1753619465.351,484,1532
1753619465.351,483,1532
1753619465.368,483,1534
1753619465.382,483,1535
1753619465.398,482,1536
1753619465.414,482,1537
1753619465.43,481,1538
1753619465.445,481,1539
1753619465.458,481,1540
1753619465.461,480,1540
1753619465.461,480,1542
1753619465.477,479,1542
1753619465.493,479,1543
1753619465.493,479,1544
1753619465.508,477,1544
1753619465.508,477,1545
1753619465.524,476,1546
1753619465.54,475,1547
1753619465.571,474,1548
1753619465.571,474,1549
1753619465.587,473,1551
1753619465.603,472,1552
1753619465.618,471,1553
1753619465.626,471,1554
1753619465.634,470,1554
1753619465.634,470,1555
1753619465.65,468,1556
1753619465.666,468,1557
1753619465.666,467,1557
1753619465.681,467,1559
1753619465.697,466,1560
1753619465.712,465,1561
1753619465.712,465,1562
1753619465.728,464,1563
1753619465.744,463,1563
1753619465.759,463,1564
1753619465.759,462,1565
1753619465.775,462,1567
1753619465.79,460,1567
1753619465.806,460,1568
1753619465.806,459,1569
1753619465.806,459,1570
1753619465.822,458,1570
1753619465.837,458,1571
1753619465.837,457,1572
1753619465.853,457,1573
1753619465.853,456,1573
1753619465.869,455,1573
1753619465.884,455,1575
1753619465.884,455,1576
1753619465.915,454,1576
1753619465.931,454,1577
1753619465.947,452,1578
1753619465.962,452,1579
1753619465.962,451,1579
1753619465.978,451,1580
1753619465.978,450,1581
1753619465.994,449,1582
1753619466.008,449,1584
1753619466.011,449,1585
1753619466.011,448,1586
1753619466.025,447,1586
1753619466.042,447,1587
1753619466.042,446,1588
1753619466.057,446,1589
1753619466.088,445,1590
1753619466.104,445,1592
1753619466.121,442,1593
1753619466.121,442,1594
1753619466.136,441,1594
1753619466.147,441,1595
1753619466.152,440,1595
1753619466.167,440,1596
1753619466.167,439,1597
1753619466.182,439,1599
1753619466.182,437,1599
1753619466.205,436,1600
1753619466.214,436,1601
1753619466.214,435,1601
1753619466.231,435,1602
1753619466.245,434,1603
1753619466.245,433,1604
1753619466.245,433,1605
1753619466.261,432,1605
